,text,sentiment
0, kriptoemre gelsinler gelsinler k dan btc lerimizi kime vereceğiz 😎,1
1,hm anladımben binancedan bakıyorum direk rsia in aşağısındabuna göre aşırı alım bölgesinde değilfib seviesine göre nin üsteünde kaldığı sürece e kadar yolu var geliyor banayanlış mıyım ,1
2,btc düşmezse artıkbinlerin altına zor düşer,1
3,i̇şte onlara göre btc balon onlarınki yerli mili şirket oluyor yazık gerçekten allah yardım etsin,1
4,topbtc sahipleri kimlersoros ’ un zamana kadar bitcoin almadığına inanmak şaşırtıcı bana kalırsabitcoinin gideceği yer belli bunu cogu kisi biliyor bilmiyoruz sadece,1
5,bitcoin kartalım yükselişe geçtilütfen kemerlerinizi bağlayınız,1
6, bnb almak mutluluk satın almaktır btcbinance,1
7,yakın bir zamanda küresel çapta finansal siyasal krizler oluşabilirbaş rolde kapitalizmin zayıf halkasi olan türkiye uluslararasi makro ekonomik sorunlarına sebepolacak olan fedgüvenebileceğiniz para birimi,1
8,bakın arkadaşlar kıskançlık haterlıktan karalama gafletinde bulunuyorlar,1
9,şu an türkiyede herhangi bir denetim regulasyon yoko yüzden bitcoinlerinizi borsalarda tutmayınledger nanoda tutun ,1
10, btc ye oyumu satarım,1
11,hocamay cok olmamıs bişey alma btc beklex yine gelir,1
12,georgesoros bitcoine yatırım yapabilir,1
13,yazık piyasanın ağası btc yapacak bişey yok,1
14, poa birileri btc çarçur ettiaşağıdan satıp tepeden market buy yaptılarbirinin hesabını hackledilerneyse güzel kar ettik akşam akşam eyvallah poa reyiz,1
15,cnbc ’ den brian kellye göre bitcoin fiyatları nisanda artacaki̇şte nedenleri,1
16,nisandak inşallah hazirana kadar ken son grafik biraz dayak yedi yine btc dönüp fiyata girecek inşallah ,1
17,benim aklımda sorosun yapabileceği kadar büyük bi pump haberi var bilmiyorum belkide paranoya olabiliramazon çıkıp btc ödeme alt yapısını hazırlıyoruz dese an piyasa olur sizce ,1
18,bitcoin cashmayıs öncesi baya yükselecekşimdiden söylüyorumşimdilik erken güzel fırsatlarnisandan sonra bitcoin cash e geçmekte fayda varkesin kar edersinizşimdiden söyleyeyim paylaşır öz paylaşırım hayatta zarar etmezsiniz ,1
19,george soros kripto paralara yatırım kararı almışbu adam kâr etmeyeceği piyasalara girmezkârdan kastım öyle böyle kazanç değilo girerse yeni rekorlar göreceğiz demektir btcboostcoin,1
20,bitcoin yükselişe geçti httpfinansmynetcomhaberdetayfinansbitcoinyukselisegecti …mynetfinans aracılığıyla,1
21,selcoin var ona bulaşmıyorsun kucoin borsasını refaransıyla shilleyi herkese flix aldırmıştıdoğrucu davut olarak üzerine gider misinha bak tikidiki söylemedimden btc sattırıpe gidişini izleyen ,1
22, bitcoin ’ in fiyatı yüzdeartarakdoların üzerine çıktıwwwbitcoinsistemicombitcoininfiyatiyuzdeartarakdolarinuzerinecikti …,1
23,dgb btc uzun vadeli trend akımı dgbbtc grafiğihttptrtradingviewcomchartdgbbtcmcjuwwn …,1
24,bir bitcoine laf eden bir spoiler veren yanıyor ,1
25,soros bitcoin cash ltc yi pumlayacakön görü btcltcbch,1
26,cok duvar vardi hocam valla piyasa hacimsizlikten geberiyo zaten gitse iyiydi neysesattim dustugu yerde alirim gene bundan temiz kar almadan birakmicam,1
27,ocak subat de btc bir türlü ı geçemiyordu çoğu kişi lerde satıyordu onu hatırlattın,1
28,merkezsiz olan hersey artar btc sadece bir örnek,1
29,hindistandaki yasaklara rağmen bitcoin ethereum artışta httpwwwkoinmilyonercom,1
30, güneykore kripto paralara destek vermeyi sürdürüyor,1
31,bir zamanlarsats lardan burun kıvırdığımız xvg,1
32,bilgisayarınıza indireceğiniz program sayesinde para üretiyorsunuzmuazzam bir teknoloji karşı karşıyayız var olan sistemleri yeniden yazılacağı bir döneme giriş yaptıkhalk isterse bitcoin onu yapar ,1
33, btc yükselişe başladığına göre geriler yakındır yetsin artık beee çıkmasını geçtim düz gitsin yeter dip dip dip kadaray oldu la bak bahar geldi,1
34, btc market dominansı düz seyre girdialtlarda yukarı hareket baslayabilir azından düşüş trendi bitmiş diyebiliriztwittercomcryptoyodastatus …,1
35, btc büyük resimde yarasa ’ mız varhedeflerimiz sırasıyla seviyeleribu formasyonun stopu seviyesi ,1
36,goruntu olarak benzeyebilir ancak ons yükselişin yarısını verdibtc fibo i bile geçti ,1
37,soros gibilerin başlarda balon kötüleyerek şimdi yatırım hazırlığında olmaları bana göre dönüş sinyalleri geliyorbtcbitcoinaltcoin,1
38, nisan ayında borçlarım vardı bin kadartl param vardı alacaklılarıma ödeyemeyeceğimi söyledim beklemeleri gerektiğini söyledim bastım parayı btc ye borçları ödedim sağol satoshi elde bir kalmadı borcumda yok resmen özgürüm,1
39,amerikadaki vergilendirmenin bitmesi btc mutlaka bir yukarı yönlü sıçrama olacaktırpeki sıçramalar fake mi olacak sizcedüşüş kanalı devam edecek mi hâlâ ,1
